# timestamp tx ty tz qx qy qz qw
0 0.035115521401166916 -0.05256367102265358 0.03394141048192978 -0.1030320357160771 -0.05217512002697223 -0.031523311478076056 0.9928083579889863
1 0.03577464446425438 -0.05431079491972923 0.02334427461028099 -0.10329295792935606 -0.04996848074418194 -0.03171658770255092 0.9928886009061807
2 0.03553150221705437 -0.05389460176229477 0.02034958079457283 -0.1007980099519194 -0.04822340369018705 -0.03169060273644004 0.9932320795614932
3 0.03526381775736809 -0.05243596434593201 0.015347939915955067 -0.09556797237745367 -0.04630788590336868 -0.0323834906288986 0.9938177172662604
4 0.03546307235956192 -0.053267717361450195 0.00950512196868658 -0.09537330013730036 -0.043574100070799544 -0.03278099881194082 0.9939470008900224
5 0.037406954914331436 -0.05590795353055 7.060480129439384e-05 -0.0961648116295265 -0.04555680692554988 -0.03187930487645513 0.9938111574319722
6 0.03859687224030495 -0.056985970586538315 -0.004283510148525238 -0.0948072952429632 -0.04791869687123446 -0.03142569868422253 0.9938449607318535
7 0.03939098119735718 -0.0580444373190403 -0.011417618952691555 -0.09539977596617234 -0.04830868950731815 -0.03222489410123443 0.9937437873022343
8 0.04020214453339577 -0.057752836495637894 -0.01687532104551792 -0.09667100024679587 -0.05089129960876669 -0.032102198732296354 0.9934959719724549
9 0.03987393528223038 -0.05739425867795944 -0.019517118111252785 -0.09703892778782555 -0.05019131403835081 -0.03233150760531287 0.9934882776027646
10 0.03995879739522934 -0.05717753246426582 -0.02095092460513115 -0.09711715600817197 -0.05118627583534401 -0.032738485080281494 0.9934165281114293
11 0.0403587631881237 -0.05630729719996452 -0.0232685673981905 -0.09603961293433476 -0.05195000805035304 -0.03220330489835148 0.9934991291965762
12 0.04032839834690094 -0.056391119956970215 -0.02392914518713951 -0.0967555006728579 -0.051948100620824916 -0.031917199954270455 0.9934390127261088
13 0.04078909754753113 -0.056791916489601135 -0.02590193971991539 -0.0947878560396972 -0.052741375091617484 -0.03133128453550884 0.9936055390303017
14 0.04089849814772606 -0.05800159275531769 -0.025794407352805138 -0.09545223328544453 -0.05306151754127595 -0.030998409741891664 0.9935353278164991
15 0.04133132845163345 -0.05738406628370285 -0.0244539063423872 -0.0937367872168514 -0.05352129191666231 -0.03173159390285179 0.9936508441135798
16 0.04124896600842476 -0.057446256279945374 -0.024205980822443962 -0.09353378068844781 -0.05302678929611726 -0.03181599260074201 0.9936937853070164
17 0.04148545116186142 -0.059079609811306 -0.02493082918226719 -0.09368660829350732 -0.05341070650500095 -0.03217950261337309 0.9936471175072747
18 0.041006654500961304 -0.058931104838848114 -0.025386538356542587 -0.09320651962290956 -0.05275681293552023 -0.032638407599127395 0.9937122298806246
19 0.04082008823752403 -0.05874266475439072 -0.0256502702832222 -0.09281093976020532 -0.053706924332137605 -0.03269651480939048 0.993696454542921
20 0.04111044108867645 -0.06101704388856888 -0.025567281991243362 -0.09184947730415757 -0.05401618610206542 -0.03196759072680455 0.9937927296886718
